study.name,unique.id,site,alternative,N,p.value,OR,delta,d
Hauser.6,49,jmu,greater,40,4.611580435e-01,1.323764348e+00, 2.804794570e-01, 1.546364292e-01
Hauser.6,49,jos,greater,60,3.768696080e-01,1.856830022e+00, 6.188707444e-01, 3.412013239e-01
Hauser.6,49,kenyon,greater,41,1.923183527e-01,2.274631147e+00, 8.218179062e-01, 4.530919585e-01
Hauser.6,49,krakowon,greater,62,5.000000000e-01,1.136011296e+00, 1.275232639e-01, 7.030726021e-02
Hauser.6,49,kwazulu,greater,26,3.130434783e-01,2.211349301e+00, 7.936028727e-01, 4.375361952e-01
Hauser.6,49,louvain,greater,69,6.497550918e-01,9.342749692e-01,-6.798448450e-02,-3.748181075e-02
Hauser.6,49,loyola,greater,143,2.362127002e-04,3.536293592e+00, 1.263079171e+00, 6.963720441e-01
Hauser.6,49,lse,greater,49,1.764759464e-01,2.031555616e+00, 7.088018128e-01, 3.907829205e-01
Hauser.6,49,mcdanielonline,greater,84,5.471727165e-01,1.048807924e+00, 4.765420891e-02, 2.627314236e-02
Hauser.6,49,metu,greater,67,5.601655841e-02,2.473702884e+00, 9.057161715e-01, 4.993474964e-01
Hauser.6,49,moralsense,greater,321,1.489450234e-03,2.007070096e+00, 6.966759950e-01, 3.840976068e-01
Hauser.6,49,mturk,greater,124,2.398954677e-02,2.237637155e+00, 8.054204678e-01, 4.440515768e-01
Hauser.6,49,mturk_india,greater,152,2.969318499e-01,1.279726747e+00, 2.466465761e-01, 1.359833843e-01
Hauser.6,49,munich,greater,22,3.175586024e-01,2.462304001e+00, 9.010974974e-01, 4.968010879e-01
Hauser.6,49,munichon,greater,72,1.376818009e-01,1.980889398e+00, 6.835459347e-01, 3.768586252e-01
Hauser.6,49,northumbria,greater,48,5.000000000e-01,1.209374651e+00, 1.901034084e-01, 1.048095022e-01
Hauser.6,49,osnabruck,greater,15,8.000000000e-01,8.660268447e-01,-1.438393724e-01,-7.930280229e-02
Hauser.6,49,ouhk,greater,33,7.175347810e-01,8.654617011e-01,-1.444921559e-01,-7.966270071e-02
Hauser.6,49,padua,greater,50,6.566378798e-01,9.363384041e-01,-6.577832503e-02,-3.626549128e-02
Hauser.6,49,pascal,greater,117,3.228375618e-01,1.267231874e+00, 2.368348949e-01, 1.305739210e-01
Hauser.6,49,psualtoona,greater,120,9.267014816e-02,1.775703093e+00, 5.741964533e-01, 3.165710964e-01
Hauser.6,49,puc,greater,34,5.468959069e-02,4.246378311e+00, 1.446066458e+00, 7.972582227e-01
Hauser.6,49,queensland2,greater,72,2.443183437e-03,4.420138785e+00, 1.486171095e+00, 8.193690682e-01
Hauser.6,49,radboud,greater,2,1.000000000e+00,0.000000000e+00,            -Inf,            -Inf
Hauser.6,49,ritonline,greater,42,2.214036984e-01,2.024539756e+00, 7.053423939e-01, 3.888756429e-01
Hauser.6,49,rotterdam,greater,33,2.949497238e-01,1.839117433e+00, 6.092858005e-01, 3.359168674e-01
Hauser.6,49,salford,greater,70,6.769309283e-01,9.013576120e-01,-1.038531944e-01,-5.725726697e-02
Hauser.6,49,seznam,greater,27,6.569031274e-01,1.000000000e+00, 0.000000000e+00, 0.000000000e+00
Hauser.6,49,seznamon,greater,36,1.572649159e-01,2.435071578e+00, 8.899761516e-01, 4.906695686e-01
Hauser.6,49,simmons,greater,62,1.754561555e-01,1.949872499e+00, 6.677639856e-01, 3.681575806e-01
Hauser.6,49,swps,greater,58,7.033938823e-01,8.688116337e-01,-1.406289393e-01,-7.753279779e-02
Hauser.6,49,tamu,greater,48,6.090191273e-01,1.006847505e+00, 6.824167462e-03, 3.762360709e-03
Hauser.6,49,tamucc,greater,59,4.322102842e-01,1.272730230e+00, 2.411643805e-01, 1.329608915e-01
Hauser.6,49,tanzania,greater,21,5.750178614e-01,1.236765536e+00, 2.124995327e-01, 1.171571326e-01
Hauser.6,49,tanzaniaon,greater,7,5.238095238e-01,3.162202511e+00, 1.151268782e+00, 6.347277459e-01
Hauser.6,49,tilburg,greater,30,1.441910624e-02,7.196737036e+00, 1.973627734e+00, 1.088117998e+00
Hauser.6,49,tilburgcaf,greater,49,5.170768414e-01,1.152149493e+00, 1.416293219e-01, 7.808433758e-02
Hauser.6,49,ulatina,greater,118,6.580615100e-02,1.959988724e+00, 6.729387199e-01, 3.710105612e-01
Hauser.6,49,umich,greater,41,3.197999975e-01,1.677692683e+00, 5.174194463e-01, 2.852682918e-01
Hauser.6,49,uned,greater,13,5.629370629e-01,1.897915060e+00, 6.407559471e-01, 3.532672685e-01
Hauser.6,49,unswonline,greater,42,9.044284513e-01,5.428439447e-01,-6.109333951e-01,-3.368252339e-01
Hauser.6,49,vcu,greater,31,4.969192823e-01,1.350095007e+00, 3.001749652e-01, 1.654951320e-01
Hauser.6,49,vuw,greater,34,3.486256872e-01,1.686712742e+00, 5.227815115e-01, 2.882245533e-01
Hauser.6,49,westernkentucky,greater,101,2.082951304e-02,2.538247338e+00, 9.314738183e-01, 5.135484313e-01
Hauser.6,49,yale,greater,13,8.624708625e-02,9.470989102e+00, 2.248233348e+00, 1.239516008e+00
Tversky.1,46,amity,greater,0,1.000000000e+00,0.000000000e+00,            -Inf,            -Inf
Tversky.1,46,amityon,greater,0,1.000000000e+00,0.000000000e+00,            -Inf,            -Inf
Tversky.1,46,armstrong,greater,84,1.363219220e-01,1.889167158e+00, 6.361360748e-01, 3.507201995e-01
Tversky.1,46,aus2,greater,179,2.842153734e-01,1.251889418e+00, 2.246539441e-01, 1.238582109e-01
Tversky.1,46,badaniaon,greater,43,4.219250236e-01,1.374131874e+00, 3.178221674e-01, 1.752245445e-01
Tversky.1,46,bogota,greater,102,1.692352663e-02,2.533539689e+00, 9.296174116e-01, 5.125249407e-01
Tversky.1,46,brookcuny,greater,181,5.114477036e-03,2.292280571e+00, 8.295472047e-01, 4.573533441e-01
Tversky.1,46,carleton,greater,121,1.280247140e-03,3.461916193e+00, 1.241822249e+00, 6.846524888e-01
Tversky.1,46,cas,greater,48,5.414228387e-02,3.238302334e+00, 1.175049222e+00, 6.478385894e-01
Tversky.1,46,csunorthonline,greater,88,7.012969676e-03,3.277459612e+00, 1.187068614e+00, 6.544652276e-01
Tversky.1,46,fmkbelgrade,greater,104,2.237423785e-01,1.469527472e+00, 3.849409015e-01, 2.122290420e-01
Tversky.1,46,georgefox,greater,140,1.089809746e-02,2.497750428e+00, 9.153904978e-01, 5.046812320e-01
Tversky.1,46,grazvienna,greater,102,6.752963274e-02,1.988489613e+00, 6.873753619e-01, 3.789698990e-01
Tversky.1,46,hawaiion,greater,121,1.396267810e-01,1.587539379e+00, 4.621852569e-01, 2.548160872e-01
Tversky.1,46,help,greater,90,1.204588484e-03,5.300191168e+00, 1.667742889e+00, 9.194748451e-01
Tversky.1,46,isb,greater,0,1.000000000e+00,0.000000000e+00,            -Inf,            -Inf
Tversky.1,46,jmu,greater,84,2.504233466e-02,2.778248808e+00, 1.021820804e+00, 5.633593352e-01
Tversky.1,46,jos,greater,92,4.022897070e-01,1.329048667e+00, 2.844633986e-01, 1.568328913e-01
Tversky.1,46,kenyon,greater,106,2.153518973e-01,1.564649688e+00, 4.476619572e-01, 2.468089724e-01
Tversky.1,46,krakowon,greater,99,3.808175856e-03,4.195463576e+00, 1.434003841e+00, 7.906077535e-01
Tversky.1,46,kwazulu,greater,77,4.833317073e-02,2.672028772e+00, 9.828380235e-01, 5.418670018e-01
Tversky.1,46,louvain,greater,100,2.065451966e-01,1.501741259e+00, 4.066252741e-01, 2.241842632e-01
Tversky.1,46,loyola,greater,293,1.728524815e-02,1.696322044e+00, 5.284624037e-01, 2.913565933e-01
Tversky.1,46,lse,greater,112,1.203048233e-01,1.681715944e+00, 5.198146675e-01, 2.865888465e-01
Tversky.1,46,mcdanielonline,greater,159,2.948954189e-02,1.992277519e+00, 6.892784660e-01, 3.800191353e-01
Tversky.1,46,metu,greater,125,1.247461436e-01,1.691976307e+00, 5.258972579e-01, 2.899423543e-01
Tversky.1,46,moralsense,greater,834,1.332598217e-07,2.359870927e+00, 8.586069255e-01, 4.733748078e-01
Tversky.1,46,mturk,greater,338,4.561406589e-07,3.938403585e+00, 1.370775460e+00, 7.557481201e-01
Tversky.1,46,mturk_india,greater,0,1.000000000e+00,0.000000000e+00,            -Inf,            -Inf
Tversky.1,46,munich,greater,84,1.177876565e-02,3.027375310e+00, 1.107696010e+00, 6.107048175e-01
Tversky.1,46,munichon,greater,214,7.394860544e-02,1.676922505e+00, 5.169602712e-01, 2.850151353e-01
Tversky.1,46,northumbria,greater,79,3.221054310e-03,4.441872446e+00, 1.491076010e+00, 8.220732893e-01
Tversky.1,46,osnabruck,greater,85,1.653013309e-01,1.670958285e+00, 5.133972852e-01, 2.830507582e-01
Tversky.1,46,ouhk,greater,68,2.662358051e-01,1.535527645e+00, 4.288740646e-01, 2.364506643e-01
Tversky.1,46,padua,greater,79,3.780836555e-01,1.282056033e+00, 2.484650650e-01, 1.369859698e-01
Tversky.1,46,pascal,greater,178,9.641363921e-02,1.570701575e+00, 4.515223828e-01, 2.489373366e-01
Tversky.1,46,psualtoona,greater,177,4.446811254e-04,2.983641862e+00, 1.093144656e+00, 6.026822356e-01
Tversky.1,46,puc,greater,81,9.094624362e-01,5.965505930e-01,-5.165912246e-01,-2.848116692e-01
Tversky.1,46,queensland2,greater,137,1.475104810e-01,1.545012456e+00, 4.350319728e-01, 2.398456970e-01
Tversky.1,46,radboud,greater,30,4.507746127e-02,5.110346740e+00, 1.631267257e+00, 8.993647750e-01
Tversky.1,46,ritonline,greater,86,2.231364504e-03,3.883292879e+00, 1.356683474e+00, 7.479788011e-01
Tversky.1,46,rotterdam,greater,77,9.697927341e-03,3.405713299e+00, 1.225454403e+00, 6.756284226e-01
Tversky.1,46,salford,greater,103,1.045405411e-01,1.845894346e+00, 6.129639006e-01, 3.379447103e-01
Tversky.1,46,seznam,greater,85,3.217602636e-02,2.457901426e+00, 8.993079072e-01, 4.958144351e-01
Tversky.1,46,seznamon,greater,118,3.844042491e-02,2.151895425e+00, 7.663490466e-01, 4.225103734e-01
Tversky.1,46,simmons,greater,96,8.001338965e-02,2.222047924e+00, 7.984292589e-01, 4.401971214e-01
Tversky.1,46,swps,greater,89,3.760995935e-03,3.815331585e+00, 1.339027577e+00, 7.382445950e-01
Tversky.1,46,tamu,greater,85,1.305347795e-02,3.057495439e+00, 1.117596097e+00, 6.161630215e-01
Tversky.1,46,tamucc,greater,89,1.714244088e-01,1.686313243e+00, 5.225446329e-01, 2.880939553e-01
Tversky.1,46,tanzania,greater,60,1.992544884e-01,1.881834266e+00, 6.322469747e-01, 3.485760262e-01
Tversky.1,46,tanzaniaon,greater,15,4.461538462e-01,2.612458721e+00, 9.602918166e-01, 5.294366265e-01
Tversky.1,46,tilburg,greater,95,4.818364954e-03,3.235527807e+00, 1.174192070e+00, 6.473660168e-01
Tversky.1,46,tilburgcaf,greater,81,5.221035275e-03,3.511554105e+00, 1.256058704e+00, 6.925014581e-01
Tversky.1,46,ulatina,greater,207,2.589121422e-02,1.945119499e+00, 6.653234143e-01, 3.668120231e-01
Tversky.1,46,umich,greater,86,1.347946608e-01,1.868331553e+00, 6.250458148e-01, 3.446058187e-01
Tversky.1,46,uned,greater,86,2.257560237e-01,1.522882498e+00, 4.206049195e-01, 2.318916457e-01
Tversky.1,46,unswonline,greater,97,1.111271059e-01,1.866774425e+00, 6.242120350e-01, 3.441461318e-01
Tversky.1,46,vcu,greater,96,2.247177107e-03,3.926878645e+00, 1.367844872e+00, 7.541324027e-01
Tversky.1,46,vuw,greater,100,4.650367413e-01,1.157385221e+00, 1.461633412e-01, 8.058407344e-02
Tversky.1,46,westernkentucky,greater,161,3.604003075e-05,3.828834841e+00, 1.342560538e+00, 7.401924184e-01
Tversky.1,46,yale,greater,282,3.601755284e-05,3.132549262e+00, 1.141847134e+00, 6.295333190e-01
Rottenstreich.1,16,aus,less,91,1.062180698e-01,5.394673921e-01,-6.171729370e-01,-3.402652737e-01
Rottenstreich.1,16,badaniaon,less,38,2.525426227e-01,5.298252562e-01,-6.352080322e-01,-3.502085427e-01
Rottenstreich.1,16,bc,less,76,7.465603885e-01,1.218643537e+00, 1.977383850e-01, 1.090188854e-01
Rottenstreich.1,16,bilgi,less,153,5.981770216e-01,1.026401740e+00, 2.605923004e-02, 1.436720651e-02
Rottenstreich.1,16,brasilia,less,103,2.632933358e-01,7.210848826e-01,-3.269984196e-01,-1.802836775e-01
Rottenstreich.1,16,cas,less,69,2.777786370e-01,6.648909003e-01,-4.081323116e-01,-2.250151365e-01
Rottenstreich.1,16,castab,less,66,1.619755014e-01,5.467939304e-01,-6.036832743e-01,-3.328280328e-01
Rottenstreich.1,16,doshisha,less,114,8.255182621e-01,1.321492233e+00, 2.787615774e-01, 1.536893126e-01
Rottenstreich.1,16,eindhoven,less,98,7.328724894e-01,1.185649304e+00, 1.702905603e-01, 9.388610653e-02
Rottenstreich.1,16,eindhoventab,less,12,8.787878788e-01,1.885775623e+00, 6.343392076e-01, 3.497295347e-01
Rottenstreich.1,16,elte,less,94,5.823235331e-01,9.981261486e-01,-1.875609273e-03,-1.034077589e-03
Rottenstreich.1,16,eltetab,less,87,7.379718774e-01,1.197474526e+00, 1.802147772e-01, 9.935761407e-02
Rottenstreich.1,16,fmkbelgrade,less,26,2.374747611e-01,4.149047933e-01,-8.797061987e-01,-4.850074468e-01
Rottenstreich.1,16,grazvienna,less,124,4.884726435e-01,9.278380706e-01,-7.489805430e-02,-4.129346155e-02
Rottenstreich.1,16,hawaiion,less,101,3.062725194e-01,7.565828972e-01,-2.789431719e-01,-1.537894308e-01
Rottenstreich.1,16,henan,less,18,3.185931715e-01,4.216176669e-01,-8.636563781e-01,-4.761587170e-01
Rottenstreich.1,16,hkust,less,105,7.536093937e-01,1.209315644e+00, 1.900546159e-01, 1.047826014e-01
Rottenstreich.1,16,hkusttab,less,28,6.002635046e-01,8.618385136e-01,-1.486873650e-01,-8.197564072e-02
Rottenstreich.1,16,hunancomp,less,154,5.221087189e-02,5.577088732e-01,-5.839181853e-01,-3.219309681e-01
Rottenstreich.1,16,ithaca,less,78,8.527588700e-01,1.461229178e+00, 3.792779842e-01, 2.091069121e-01
Rottenstreich.1,16,johannesburg,less,52,2.565186895e-01,3.118207730e-01,-1.165326702e+00,-6.424782832e-01
Rottenstreich.1,16,johannesburgother,less,22,4.767801858e-01,6.144865757e-01,-4.869681960e-01,-2.684796376e-01
Rottenstreich.1,16,koc,less,87,1.929216025e-01,5.537785006e-01,-5.909904906e-01,-3.258301344e-01
Rottenstreich.1,16,lausanne,less,113,6.714649001e-01,1.101093118e+00, 9.630342992e-02, 5.309486364e-02
Rottenstreich.1,16,leuven,less,109,9.234303985e-02,5.566286304e-01,-5.858569931e-01,-3.229998889e-01
Rottenstreich.1,16,lundon,less,113,6.045862247e-01,1.029123065e+00, 2.870704656e-02, 1.582702427e-02
Rottenstreich.1,16,marian,less,79,4.579711364e-01,8.628784425e-01,-1.474814524e-01,-8.131078627e-02
Rottenstreich.1,16,marianipad,less,27,7.743707094e-01,1.319217107e+00, 2.770384602e-01, 1.527393082e-01
Rottenstreich.1,16,mariantab,less,26,7.831236659e-01,1.344981796e+00, 2.963804787e-01, 1.634031219e-01
Rottenstreich.1,16,mturk,less,331,4.775253548e-01,9.589427348e-01,-4.192391928e-02,-2.311386811e-02
Rottenstreich.1,16,mturk_india,less,359,2.582880892e-01,8.306686055e-01,-1.855243537e-01,-1.022849370e-01
Rottenstreich.1,16,navarra,less,54,4.385845296e-01,7.729589520e-01,-2.575293340e-01,-1.419833632e-01
Rottenstreich.1,16,ntnu,less,83,7.149389989e-01,1.164076171e+00, 1.519277866e-01, 8.376217875e-02
Rottenstreich.1,16,ntnutab,less,53,9.523397975e-01,2.186939987e+00, 7.825033006e-01, 4.314166804e-01
Rottenstreich.1,16,occid,less,67,6.563037226e-01,1.076913060e+00, 7.409867038e-02, 4.085273809e-02
Rottenstreich.1,16,occidtab,less,81,1.942510073e-01,6.148806239e-01,-4.863271375e-01,-2.681262035e-01
Rottenstreich.1,16,ouhktab,less,40,5.252472717e-01,8.497050548e-01,-1.628659841e-01,-8.979272312e-02
Rottenstreich.1,16,plu,less,96,2.031591869e-02,3.970869841e-01,-9.235999188e-01,-5.092073230e-01
Rottenstreich.1,16,poitiers,less,44,1.668192462e-01,4.640046643e-01,-7.678606744e-01,-4.233437775e-01
Rottenstreich.1,16,potsdam,less,92,2.767168237e-01,7.097534670e-01,-3.428375988e-01,-1.890162747e-01
Rottenstreich.1,16,pscio,less,86,8.626169351e-02,4.674141665e-01,-7.605395482e-01,-4.193074290e-01
Rottenstreich.1,16,psuabington,less,90,6.913977070e-01,1.128333557e+00, 1.207418162e-01, 6.656845217e-02
Rottenstreich.1,16,psuabingtontab,less,79,5.214092456e-01,9.240142234e-01,-7.902781421e-02,-4.357031752e-02
Rottenstreich.1,16,psumain,less,82,3.974062291e-01,8.057335200e-01,-2.160022115e-01,-1.190882607e-01
Rottenstreich.1,16,purkyne,less,140,5.410499424e-01,9.758137272e-01,-2.448356407e-02,-1.349849633e-02
Rottenstreich.1,16,sandiegosu,less,174,8.206049514e-02,6.223415405e-01,-4.742662364e-01,-2.614766802e-01
Rottenstreich.1,16,santiagoon,less,60,3.517320593e-01,7.066703598e-01,-3.471909739e-01,-1.914164161e-01
Rottenstreich.1,16,swps,less,96,6.133577087e-01,1.032995985e+00, 3.246330307e-02, 1.789795702e-02
Rottenstreich.1,16,tamu,less,99,1.471978913e-01,6.046833505e-01,-5.030503456e-01,-2.773461914e-01
Rottenstreich.1,16,tilburg,less,97,9.590935863e-01,1.863302292e+00, 6.223503393e-01, 3.431197251e-01
Rottenstreich.1,16,tilburgcaf,less,80,3.345746614e-01,7.414464772e-01,-2.991523018e-01,-1.649313081e-01
Rottenstreich.1,16,tilburgcomm,less,103,9.936621715e-01,2.482055602e+00, 9.090870888e-01, 5.012059805e-01
Rottenstreich.1,16,toronto,less,350,6.929510079e-01,1.088623064e+00, 8.491365361e-02, 4.681535085e-02
Rottenstreich.1,16,tufts,less,88,5.040963023e-01,9.061240692e-01,-9.857904059e-02,-5.434947356e-02
Rottenstreich.1,16,ubc,less,82,8.177629697e-01,1.350681932e+00, 3.006095995e-01, 1.657347585e-01
Rottenstreich.1,16,ubctab,less,75,3.729240236e-01,7.754057688e-01,-2.543688140e-01,-1.402408772e-01
Rottenstreich.1,16,ucron,less,103,8.444983019e-01,1.411895355e+00, 3.449330253e-01, 1.901715438e-01
Rottenstreich.1,16,udd,less,95,2.017983752e-02,3.824325103e-01,-9.612030849e-01,-5.299390351e-01
Rottenstreich.1,16,ufl,less,116,8.135097638e-01,1.309226485e+00, 2.694364936e-01, 1.485481244e-01
Rottenstreich.1,16,uiuc,less,205,3.978937891e-02,5.773164477e-01,-5.493647266e-01,-3.028806479e-01
Rottenstreich.1,16,umich,less,88,4.119808077e-01,8.244200767e-01,-1.930750772e-01,-1.064478690e-01
Rottenstreich.1,16,unam,less,144,5.320888309e-01,9.449286339e-01,-5.664587399e-02,-3.123050713e-02
Rottenstreich.1,16,unibelgrade,less,81,7.345485656e-01,1.195688395e+00, 1.787220825e-01, 9.853464831e-02
Rottenstreich.1,16,uniporto,less,36,3.471586787e-01,6.146244366e-01,-4.867438699e-01,-2.683559602e-01
Rottenstreich.1,16,uva,less,86,5.218100860e-01,9.296875324e-01,-7.290673592e-02,-4.019559018e-02
Rottenstreich.1,16,vuamsterdam,less,95,5.217763663e-01,9.397668859e-01,-6.212342824e-02,-3.425044107e-02
Rottenstreich.1,16,vuw,less,102,5.938133530e-01,1.012378000e+00, 1.230201860e-02, 6.782458324e-03
Rottenstreich.1,16,washlee,less,97,5.707339385e-01,9.875815777e-01,-1.249617531e-02,-6.889502529e-03
Rottenstreich.1,16,wilfredlaur,less,91,4.807023697e-01,8.934261590e-01,-1.126915902e-01,-6.213012993e-02
Rottenstreich.1,16,williampat,less,124,2.562158462e-01,7.399255166e-01,-3.012057511e-01,-1.660634341e-01
Rottenstreich.1,16,winchester,less,142,1.902337211e-01,7.018570545e-01,-3.540255217e-01,-1.951844998e-01
Rottenstreich.1,16,wpi,less,86,6.682855178e-01,1.098323113e+00, 9.378457391e-02, 5.170614554e-02
Rottenstreich.1,16,wroclaw,less,97,4.837779898e-02,4.587740208e-01,-7.791975197e-01,-4.295941078e-01
Rottenstreich.1,16,zhejiang,less,86,1.438471890e-01,5.761557564e-01,-5.513772445e-01,-3.039902072e-01
